#,Feature Group,Severity,File(s),Bug Description,Fix Applied
1,Auth & User Management,Critical,client/src/pages/Login.tsx,Double HTTP request on admin login — Login.tsx made a direct axios.post AND called login() which made a second identical request; first token was silently discarded,Admin login now delegates entirely to AuthContext.login(); no direct axios.post in Login.tsx
2,Auth & User Management,Critical,client/src/pages/Login.tsx,Token/user destructured from wrong response shape — admin endpoint returns { token user } but code destructured { token driver } so user was always undefined,Fixed destructure to use correct shape per role
3,Auth & User Management,Low,client/src/pages/Login.tsx,Dead unreachable else branch — inner if(role==='driver') was always true making '/admin-home' redirect dead code,Removed dead code with restructured logic
4,Auth & User Management,Medium,client/src/pages/Login.tsx,No form validation or inline error display — errors shown via alert() only,Added loginError state with inline form error display and blank-field guard
5,Auth & User Management,Low,client/src/contexts/AuthContext.tsx,useEffect for axios header sync had no dependency array — ran on every render,Added [user] as dependency array
6,Auth & User Management,Medium,client/src/contexts/AuthContext.tsx,logout() called navigate('/') causing double-navigation race with Logout.tsx page,Removed navigate('/') from logout(); Logout page handles navigation
7,Auth & User Management,Critical,client/src/contexts/AuthContext.tsx,exitOrg() stored literal string 'null' as token when superadmin_token key was missing — corrupted auth state,Added null guard; navigates to /select-org if superadmin_token absent
8,Auth & User Management,Medium,client/src/contexts/AuthContext.tsx,switchOrg() could store null as superadmin_token with no active session,Added explicit null guard that throws error if no token present
9,Auth & User Management,High,client/src/contexts/AuthContext.tsx,isInsideOrg and activeOrgName were non-reactive localStorage reads — Navbar org banner never updated after switchOrg/exitOrg,Converted both to useState updated in switchOrg / exitOrg / logout
10,Auth & User Management,Medium,client/src/contexts/AuthContext.tsx,login() swallowed errors with alert() preventing Login.tsx from displaying inline errors,Changed catch block to re-throw error
11,Auth & User Management,Critical,server/controller/authController.js,changePassword never verified old password — any authenticated user could change any password freely,Added bcrypt.compare(oldPassword) check; returns 400 if mismatch
12,Auth & User Management,Critical,server/controller/authController.js,changePassword and getUserProfile manually re-verified JWT instead of using req.user from protect middleware — crashes on cookie-based auth,Replaced manual JWT extraction with User.findById(req.user.id)
13,Auth & User Management,Critical,server/controller/authController.js,changePassword called bcrypt.hash() before save AND model pre-save hook also hashes — double-hash made new password permanently unverifiable,Assign plain newPassword directly; let model hook handle hashing
14,Auth & User Management,Medium,server/controller/authController.js,No minimum password length validation server-side,Added check rejecting passwords shorter than 8 characters with 400 response
15,Auth & User Management,Medium,server/routes/authRoute.js,company_admin and dispatcher blocked from change-password endpoint (only admin and driver allowed) — 403 Forbidden,Updated authorizeRoles to include company_admin and dispatcher
16,Auth & User Management,Medium,client/src/pages/ChangePassword.tsx,Successful password change redirected to '/' (landing page) instead of the user's dashboard,Redirects to /dashboard for drivers; /admin-home for admins/company_admins/dispatchers
17,Auth & User Management,Low,client/src/pages/ChangePassword.tsx,No client-side minimum password length validation,Added newPassword.trim().length < 8 check before submission
18,Auth & User Management,Critical,client/src/pages/ChangePassword.tsx,useEffect auto-filled Current Password field with driver's plain-text stored password — serious security violation,useEffect now only clears all three password fields on driver selection change; no auto-fill
19,Auth & User Management,Low,client/src/pages/Login.tsx,login() swallowed errors with alert() instead of re-throwing to caller,Changed to throw error so Login.tsx handles error display
20,Org & Multi-Tenancy,Critical,server/controller/organizationController.js,Field name mismatch broke registration — controller expected companyName/adminName but frontend sends name; every registration failed with 400,Changed to accept name (with companyName as legacy fallback); removed adminName requirement
21,Org & Multi-Tenancy,Critical,server/controller/organizationController.js,Plan field from request body never applied to org document — every org silently created with default 'driver' plan regardless of selection,Added plan validation and explicitly set subscription.plan and subscription.status on org at creation
22,Org & Multi-Tenancy,Critical,server/controller/organizationController.js,Double password hashing — controller called bcrypt.hash() then model pre-save hook also hashed — login was impossible for all self-registered users,Removed manual bcrypt.hash() call; pre-save hook handles hashing
23,Org & Multi-Tenancy,High,server/controller/organizationController.js,organizationId missing from registration response user object — AuthContext had no org scope after signup,Added organizationId: organization._id to response user object
24,Org & Multi-Tenancy,High,server/routes/authRoute.js,company_admin and dispatcher blocked from changing password,Added company_admin and dispatcher to allowed roles
25,Org & Multi-Tenancy,Medium,client/src/pages/Navbar.tsx,Org context banner and sticky header both had top:0 — header rendered on top of banner hiding it,Made header top dynamic: top: isInsideOrg ? '33px' : '0'
26,Org & Multi-Tenancy,High,client/src/pages/Navbar.tsx,All notification fetch() calls missing Authorization header — unlike axios fetch doesn't pick up axios.defaults — all returning 401,Added Authorization: Bearer <token> to all four fetch() calls in Navbar
27,Org & Multi-Tenancy,High,client/src/pages/OrgSelector.tsx,Crash if org.subscription is undefined — org.subscription.status accessed without null guard,Added const sub = org.subscription ?? { status: 'trialing' plan: 'bundle' } as defensive fallback
28,Subscription & Billing,Critical,server/src/index.ts,Stripe webhook routes mounted AFTER bodyParser.json() — raw body buffer consumed before express.raw() could see it — every webhook failed signature verification,Moved paymentRoutes and subscriptionRoutes to be mounted BEFORE app.use(bodyParser.json())
29,Subscription & Billing,Critical,server/src/index.ts,Server fallback port was 7000 instead of 8000 — breaking all local dev API connections,Changed fallback to 8000
30,Subscription & Billing,High,server/controller/subscriptionController.js,createCheckout had zero error handling — any Stripe/DB error left the HTTP request hanging,Wrapped in try/catch returning 500; added plan input validation and organizationId null guard
31,Subscription & Billing,High,server/controller/subscriptionController.js,getCurrentSubscription and createBillingPortal had zero error handling,Wrapped both in try/catch returning 500; added organizationId null guards
32,Subscription & Billing,High,server/controller/subscriptionController.js,Expired trial reported as active — if trialEndsAt was past but Stripe webhook missed org treated as trialing (open access to gated features),Added server-side check: if status='trialing' but trialEndsAt < now returns status='inactive'
33,Subscription & Billing,High,server/controller/subscriptionController.js,Webhook: dead getOrgId helper; no try/catch around switch block; missing STRIPE_WEBHOOK_SECRET guard; checkout.session.completed could write undefined to subscription.plan,Removed dead helper; added STRIPE_WEBHOOK_SECRET guard; wrapped switch in try/catch; added plan null guards before DB write
34,Subscription & Billing,High,server/middleware/featureGate.js,No try/catch — DB errors propagated as unhandled rejections,Wrapped DB call in try/catch returning 500
35,Subscription & Billing,High,server/middleware/featureGate.js,Expired trial bypassed feature gate — trialing with past trialEndsAt still treated as active,Added expired-trial detection returning 402 when trialEndsAt < now
36,Subscription & Billing,Low,client/src/pages/Subscription.tsx,No loading state — page was invisible until data loaded with no feedback to user,Added early return with spinner animation when loading is true
37,Subscription & Billing,Low,client/src/pages/Subscription.tsx,Trial countdown showed only date not days remaining; no color warning when expiring soon,Added trialDaysLeft computed value; shows days left in amber when <= 3 days remain
38,Subscription & Billing,Medium,client/src/pages/Subscription.tsx,Plan button showed wrong label — used currentPlan truthiness but org always has default plan; couldn't distinguish trial vs paid,Changed condition to subscription?.stripeSubscriptionId to correctly distinguish paid vs default state
39,Subscription & Billing,Low,client/src/pages/Pricing.tsx,Annual pricing footnote used marginTop: '-40px' overlapping plan cards,Changed to marginTop: '8px' for correct spacing
40,Vehicle Management,Medium,server/model/vehicleModel.js,make / model / year marked required:true — frontend allows blank causing Mongoose 500 errors on valid submissions,Made fields optional with default: '' for strings; unitNumber remains the only required field
41,Vehicle Management,High,server/controller/vehicleController.js,createVehicle missing null guard for organizationId — vehicle created with null org on broken JWT,Added early return with 400 response if organizationId is null
42,Vehicle Management,Critical,server/controller/vehicleController.js,createVehicle spread req.body before setting organizationId — malicious client could inject a different org's ID,Destructured organizationId out of req.body (safeBody) before spread
43,Vehicle Management,Critical,server/controller/vehicleController.js,updateVehicle passed raw req.body to findOneAndUpdate — allowed overwriting organizationId and _id,Stripped organizationId and _id from payload; used { $set: safeBody }
44,Vehicle Management,High,server/controller/vehicleController.js,getVehicleStats sub-queries hardcoded req.organizationId instead of using getOrgFilter — platform admin saw no data,Reused getOrgFilter(req) spread into both sub-queries
45,Vehicle Management,High,server/routes/vehicleRoute.js,GET routes had no authorizeRoles guard — any authenticated role including driver could read vehicle data,Added authorizeRoles('admin' 'company_admin' 'dispatcher') to all three read routes
46,Vehicle Management,High,server/routes/vehicleRoute.js,PUT route missing uploadVehiclePhotos middleware — photo uploads on edit silently ignored,Added uploadVehiclePhotos.array('photos' 5) to the PUT route
47,Vehicle Management,High,client/src/pages/Vehicles.tsx,Stale token closure — headers built from localStorage once at mount; re-login would use old token in all calls,Replaced with getHeaders() helper called fresh inside each API call
48,Vehicle Management,Low,client/src/pages/Vehicles.tsx,fetchVehicles not memoized; missing from useEffect dependency array,Wrapped in useCallback and added to useEffect dependency array
49,Vehicle Management,Medium,client/src/pages/Vehicles.tsx,No safety check that API response is array — crash if API returns non-array,Added Array.isArray(res.data) ? res.data : [] guard
50,Vehicle Management,Medium,client/src/pages/Vehicles.tsx,odometer field used loose falsy check — value of '0' stripped from payload,Fixed with explicit !== '' check
51,Vehicle Management,Low,client/src/pages/Vehicles.tsx,Notes textarea placed outside formGrid div — gridColumn: '1 / -1' CSS had no effect,Moved Notes div inside formGrid closing tag
52,Vehicle Management,Medium,client/src/pages/Vehicles.tsx,Delete button had no loading guard — double-click fired multiple concurrent DELETE requests,Added deleting state that prevents re-entry and disables buttons during operation
53,Maintenance & Parts,Critical,server/src/index.ts,PM route mounted at /api/preventive-maintenance but frontend calls /api/pm/* — all PM operations returned 404,Changed mount path from /api/preventive-maintenance to /api/pm
54,Maintenance & Parts,Medium,server/controller/maintenanceController.js,getDueAlerts used current timestamp — records scheduled earlier the same day excluded from alerts,Changed to start-of-day (setHours(0 0 0 0)) so all today's records included
55,Maintenance & Parts,Medium,server/controller/serviceHistoryController.js,Date sort produced NaN when date was null/undefined — sort order broken,Added null guard using ternary before subtracting dates
56,Maintenance & Parts,High,server/controller/warrantyController.js,updateClaim used $set: { 'claims.$': req.body } — overwrote entire subdocument discarding fields not in req.body,Build setFields dynamically using claims.$.fieldName dot-path keys for only present fields
57,Maintenance & Parts,Medium,client/src/pages/PreventiveMaintenance.tsx,handleSaveTemplate sent form without checking name was non-empty — Mongoose required error surfaced as silent 500,Added if (!templateForm.name.trim()) guard with alert()
58,Maintenance & Parts,Medium,client/src/pages/PreventiveMaintenance.tsx,handleSaveSchedule sent without checking vehicleId or templateId,Added guards for both required fields
